Date,Product Name,Category,Units Sold,Price,Discount,Location,Platform
2020-01-06,Whey Protein,Protein,161,31.98,0.03,Canada,Walmart
2020-01-06,Vitamin C,Vitamin,135,42.51,0.04,UK,Amazon
2020-01-06,Fish Oil,Omega,2604,12.91,0.25,Canada,Amazon
2020-01-06,Multivitamin,Vitamin,949,16.07,0.08,Canada,Walmart
2020-01-06,Pre-Workout,Performance,551,35.47,0.25,Canada,iHerb
2020-01-06,BCAA,Amino Acid,359,41.19,0.13,UK,Walmart
2020-01-06,Creatine,Performance,179,32.49,0.05,UK,Walmart
2020-01-06,Zinc,Mineral,251,46.68,0.19,Canada,Amazon
2020-01-06,Collagen Peptides,Protein,1171,10.96,0.06,USA,Amazon
2020-01-06,Magnesium,Mineral,267,20.76,0.0,Canada,Amazon
2020-01-06,Ashwagandha,Herbal,1359,15.49,0.14,USA,Amazon
2020-01-06,Melatonin,Sleep Aid,265,34.41,0.04,USA,Walmart
2020-01-06,Biotin,Vitamin,606,28.79,0.1,UK,iHerb
2020-01-06,Green Tea Extract,Fat Burner,397,31.88,0.06,UK,Walmart
2020-01-06,Iron Supplement,Mineral,409,42.97,0.22,Canada,iHerb
2020-01-06,Electrolyte Powder,Hydration,234,35.92,0.04,USA,Amazon
2020-01-13,Whey Protein,Protein,720,12.08,0.02,UK,Amazon
2020-01-13,Vitamin C,Vitamin,2757,10.61,0.24,USA,Amazon
2020-01-13,Fish Oil,Omega,870,27.49,0.19,USA,Walmart
2020-01-13,Multivitamin,Vitamin,1313,14.92,0.17,USA,Amazon
2020-01-13,Pre-Workout,Performance,2056,14.11,0.24,Canada,iHerb
2020-01-13,BCAA,Amino Acid,582,29.1,0.05,Canada,Amazon
2020-01-13,Creatine,Performance,153,42.2,0.13,UK,Walmart
2020-01-13,Zinc,Mineral,272,47.4,0.2,USA,Amazon
2020-01-13,Collagen Peptides,Protein,36,56.4,0.06,Canada,iHerb
2020-01-13,Magnesium,Mineral,183,40.65,0.24,UK,Amazon
2020-01-13,Ashwagandha,Herbal,106,54.35,0.16,UK,Walmart
2020-01-13,Melatonin,Sleep Aid,697,33.03,0.21,USA,Amazon
2020-01-13,Biotin,Vitamin,1452,18.87,0.14,USA,iHerb
2020-01-13,Green Tea Extract,Fat Burner,1012,18.24,0.03,USA,Walmart
2020-01-13,Iron Supplement,Mineral,531,35.29,0.21,USA,Amazon
2020-01-13,Electrolyte Powder,Hydration,311,35.42,0.07,USA,Amazon
2020-01-20,Whey Protein,Protein,189,41.81,0.19,USA,Walmart
2020-01-20,Vitamin C,Vitamin,1250,22.33,0.18,UK,Walmart
2020-01-20,Fish Oil,Omega,84,50.0,0.05,USA,Walmart
2020-01-20,Multivitamin,Vitamin,768,,0.09,USA,Walmart
2020-01-20,Pre-Workout,Performance,74,48.05,0.01,USA,iHerb
2020-01-20,BCAA,Amino Acid,1558,17.44,0.08,UK,Amazon
2020-01-20,Creatine,Performance,68,54.31,0.15,UK,iHerb
2020-01-20,Zinc,Mineral,2869,10.16,0.15,USA,iHerb
2020-01-20,Collagen Peptides,Protein,200,39.41,0.12,UK,Walmart
